date;rf
197802;0.0053750000
197803;0.0052416667
197804;0.0052416667
197805;0.0053416667
197806;0.0056083333
197807;0.0058416667
197808;0.0059000000
197809;0.0065416667
197810;0.0066583333
197811;0.0072000000
197812;0.0075666667
197901;0.0077916667
197902;0.0077666667
197903;0.0079000000
197904;0.0078833333
197905;0.0080083333
197906;0.0075500000
197907;0.0077000000
197908;0.0079333333
197909;0.0085500000
197910;0.0097500000
197911;0.0098250000
197912;0.0100333333
198001;0.0100000000
198002;0.0107166667
198003;0.0126666667
198004;0.0110000000
198005;0.0071500000
198006;0.0058916667
198007;0.0067166667
198008;0.0076083333
198009;0.0085583333
198010;0.0096833333
198011;0.0114416667
198012;0.0129083333
198101;0.0125166667
198102;0.0123250000
198103;0.0111333333
198104;0.0114083333
198105;0.0135833333
198106;0.0122750000
198107;0.0124583333
198108;0.0129250000
198109;0.0122500000
198110;0.0112833333
198111;0.0090500000
198112;0.0090416667
198201;0.0102333333
198202;0.0112333333
198203;0.0105666667
198204;0.0105833333
198205;0.0100750000
198206;0.0103916667
198207;0.0094583333
198208;0.0072333333
198209;0.0066000000
198210;0.0064250000
198211;0.0067250000
198212;0.0066166667
198301;0.0065500000
198302;0.0067583333
198303;0.0069583333
198304;0.0068416667
198305;0.0068250000
198306;0.0073250000
198307;0.0075666667
198308;0.0077833333
198309;0.0075000000
198310;0.0072000000
198311;0.0073000000
198312;0.0075000000
198401;0.0074166667
198402;0.0075750000
198403;0.0079333333
198404;0.0080750000
198405;0.0081916667
198406;0.0082250000
198407;0.0084333333
198408;0.0087250000
198409;0.0086416667
198410;0.0081166667
198411;0.0071750000
198412;0.0067166667
198501;0.0064666667
198502;0.0068916667
198503;0.0071000000
198504;0.0066250000
198505;0.0062333333
198506;0.0057916667
198507;0.0059000000
198508;0.0059500000
198509;0.0059166667
198510;0.0059666667
198511;0.0060333333
198512;0.0059166667
198601;0.0058916667
198602;0.0058833333
198603;0.0054666667
198604;0.0050500000
198605;0.0051250000
198606;0.0051750000
198607;0.0048583333
198608;0.0046083333
198609;0.0043416667
198610;0.0043166667
198611;0.0044583333
198612;0.0046083333
198701;0.0045250000
198702;0.0046583333
198703;0.0046583333
198704;0.0047000000
198705;0.0047166667
