,1,2,3,4,5
461,1.0,7.0,1.0,7.0,1.0
462,1.0,6.0,1.0,1.0,1.0
463,16.0,41.0,1.0,4.0,1.0
464,2.0,2.0,2.0,3.0,11.0
465,1.0,1.0,2.0,2.0,1.0
466,3.0,1.0,1.0,1.0,6.0
467,20.0,1.0,29.0,1.0,6.0
468,1.0,6.0,1.0,5.0,16.0
469,16.0,26.0,2.0,1.0,1.0
470,1.0,1.0,19.0,1.0,1.0
471,2.0,3.0,2.0,7.0,1.0
472,1.0,1.0,1.0,1.0,7.0
473,1.0,3.0,5.0,1.0,1.0
474,1.0,1.0,1.0,1.0,1.0
475,1.0,1.0,1.0,1.0,1.0
476,1.0,1.0,3.0,1.0,9.0
477,2.0,1.0,1.0,13.0,1.0
478,1.0,1.0,1.0,3.0,1.0
479,20.0,1.0,10.0,1.0,1.0
480,2.0,3.0,1.0,1.0,1.0
481,1.0,2.0,1.0,24.0,7.0
482,1.0,27.0,3.0,3.0,7.0
483,1.0,22.0,2.0,4.0,1.0
484,4.0,7.0,2.0,1.0,1.0
485,3.0,3.0,26.0,2.0,1.0
486,2.0,11.0,8.0,1.0,1.0
487,20.0,2.0,1.0,4.0,1.0
488,8.0,9.0,1.0,8.0,1.0
489,12.0,1.0,1.0,11.0,2.0
490,1.0,4.0,2.0,1.0,1.0
491,1.0,1.0,11.0,1.0,1.0
492,1.0,1.0,1.0,3.0,1.0
493,2.0,3.0,3.0,2.0,21.0
494,1.0,1.0,1.0,1.0,2.0
495,3.0,1.0,20.0,2.0,2.0
496,2.0,1.0,1.0,1.0,1.0
497,2.0,2.0,1.0,7.0,1.0
498,1.0,1.0,1.0,1.0,1.0
499,1.0,2.0,1.0,4.0,3.0
500,1.0,1.0,1.0,3.0,3.0
501,1.0,24.0,1.0,3.0,1.0
502,1.0,3.0,6.0,1.0,2.0
503,1.0,6.0,2.0,2.0,1.0
504,1.0,2.0,1.0,1.0,1.0
505,2.0,24.0,11.0,4.0,1.0
506,2.0,2.0,21.0,3.0,2.0
507,21.0,3.0,3.0,2.0,10.0
508,1.0,4.0,2.0,3.0,4.0
509,1.0,1.0,2.0,1.0,2.0
510,1.0,1.0,7.0,2.0,1.0
511,1.0,2.0,1.0,1.0,1.0
512,3.0,2.0,1.0,1.0,4.0
513,33.0,1.0,9.0,1.0,1.0
514,7.0,1.0,1.0,3.0,1.0
